task,score_label,model,score_mean,score_std,train_duration_mean,train_duration_std
Eduskunta-VKK,Accuracy,BERT multilingual,0.37728551336146277,0.00506805038867778,434.5588604913355,61.058154585356924
Eduskunta-VKK,Accuracy,BOREP,0.5819268635724332,0.0006090192712970982,6514.339602068324,110.86981272697082
Eduskunta-VKK,Accuracy,LASER,0.5986286919831224,0.0,1317.9165209169976,90.52511634240243
Eduskunta-VKK,Accuracy,Pooled FastText,0.5891350210970464,0.0,407.5510919096705,67.75892417589701
Eduskunta-VKK,Accuracy,Pooled word2vec,0.5757735583684952,0.005176663806025102,568.1977696473381,89.32454748517833
Eduskunta-VKK,Accuracy,SIF,0.5991561181434599,0.0,372.91837692833843,59.71991367966193
Eduskunta-VKK,Accuracy,TF-IDF,0.6327355836849508,0.0034316493136327614,23388.116119754337,185.83955544762983
Eduskunta-VKK,F1 micro,BERT multilingual,0.37728551336146277,0.00506805038867778,434.5588604913355,61.058154585356924
Eduskunta-VKK,F1 micro,BOREP,0.5819268635724332,0.0006090192712970982,6514.339602068324,110.86981272697082
Eduskunta-VKK,F1 micro,LASER,0.5986286919831224,0.0,1317.9165209169976,90.52511634240243
Eduskunta-VKK,F1 micro,Pooled FastText,0.5891350210970464,0.0,407.5510919096705,67.75892417589701
Eduskunta-VKK,F1 micro,Pooled word2vec,0.5757735583684952,0.005176663806025102,568.1977696473381,89.32454748517833
Eduskunta-VKK,F1 micro,SIF,0.5991561181434599,0.0,372.91837692833843,59.71991367966193
Eduskunta-VKK,F1 micro,TF-IDF,0.6327355836849508,0.0034316493136327614,23388.116119754337,185.83955544762983
Eduskunta-VKK,F1 score,BERT multilingual,0.310576217844485,0.0058422876333115515,434.5588604913355,61.058154585356924
Eduskunta-VKK,F1 score,BOREP,0.5243742736478291,0.0011407860728530363,6514.339602068324,110.86981272697082
Eduskunta-VKK,F1 score,LASER,0.5294397828558458,1.3838935486613253e-05,1317.9165209169976,90.52511634240243
Eduskunta-VKK,F1 score,Pooled FastText,0.5147168145736697,0.0,407.5510919096705,67.75892417589701
Eduskunta-VKK,F1 score,Pooled word2vec,0.5220083599675712,0.0012189691810822138,568.1977696473381,89.32454748517833
Eduskunta-VKK,F1 score,SIF,0.5544772019611917,4.02001615448382e-05,372.91837692833843,59.71991367966193
Eduskunta-VKK,F1 score,TF-IDF,0.5731837111100457,0.006916296494905787,23388.116119754337,185.83955544762983
Opusparcus,Pearson's coefficient,BERT multilingual,0.514346615470838,0.0034183379700593653,417.42023522866657,69.75947180479069
Opusparcus,Pearson's coefficient,BOREP,0.4794978693781413,0.00025544879245158506,2724.3733331956705,96.36777693767719
Opusparcus,Pearson's coefficient,LASER,0.4996858751392404,1.7054466343016005e-05,1711.2926401630054,81.04294142301853
Opusparcus,Pearson's coefficient,Pooled FastText,0.4810115552671084,4.371650227186363e-06,844.9444627323368,110.42586969935971
Opusparcus,Pearson's coefficient,Pooled word2vec,0.47583917022812444,0.0010715487414374913,639.0980611509973,88.30101976626315
Opusparcus,Pearson's coefficient,SIF,0.5066140153539246,1.9449593079817776e-06,369.7877922513314,59.677447963956936
Opusparcus,Pearson's coefficient,TF-IDF,0.21093929105139234,0.005215585959306313,5836.836093661673,9.964712965390525
TDT categories,Accuracy,BERT multilingual,0.594733461785485,0.0062682149312598395,1636.8934832166706,69.37262550150001
TDT categories,Accuracy,BOREP,0.6464354527938343,0.0009633911368015502,871.4334119409978,82.11247040088115
TDT categories,Accuracy,LASER,0.6368015414258189,0.0,783.9296388539855,84.39231988843584
TDT categories,Accuracy,Pooled FastText,0.6146435452793835,0.0,251.78894359499586,44.64854981831679
TDT categories,Accuracy,Pooled word2vec,0.6422607578676942,0.0005562141321673146,314.58447935334453,53.0285786420805
TDT categories,Accuracy,SIF,0.6329479768786127,0.0,320.7791205146568,55.93760203088108
TDT categories,Accuracy,TF-IDF,0.6172125883108542,0.00530594465056463,22897.225285358,14.355225979230115
TDT categories,F1 micro,BERT multilingual,0.594733461785485,0.0062682149312598395,1636.8934832166706,69.37262550150001
TDT categories,F1 micro,BOREP,0.6464354527938343,0.0009633911368015502,871.4334119409978,82.11247040088115
TDT categories,F1 micro,LASER,0.6368015414258189,0.0,783.9296388539855,84.39231988843584
TDT categories,F1 micro,Pooled FastText,0.6146435452793835,0.0,251.78894359499586,44.64854981831679
TDT categories,F1 micro,Pooled word2vec,0.6422607578676942,0.0005562141321673146,314.58447935334453,53.0285786420805
TDT categories,F1 micro,SIF,0.6329479768786127,0.0,320.7791205146568,55.93760203088108
TDT categories,F1 micro,TF-IDF,0.6172125883108542,0.00530594465056463,22897.225285358,14.355225979230115
TDT categories,F1 score,BERT multilingual,0.5351346698497523,0.006194294675714307,1636.8934832166706,69.37262550150001
TDT categories,F1 score,BOREP,0.6106164345333055,0.0006526506706332827,871.4334119409978,82.11247040088115
TDT categories,F1 score,LASER,0.600122802444685,0.0,783.9296388539855,84.39231988843584
TDT categories,F1 score,Pooled FastText,0.5569838725246608,0.0,251.78894359499586,44.64854981831679
TDT categories,F1 score,Pooled word2vec,0.5996591474873809,0.0005526410338659971,314.58447935334453,53.0285786420805
TDT categories,F1 score,SIF,0.6132940792878974,0.0,320.7791205146568,55.93760203088108
TDT categories,F1 score,TF-IDF,0.5647328844910163,0.004361322736392648,22897.225285358,14.355225979230115
Ylilauta,Accuracy,BERT multilingual,0.7065,0.006538348415311013,695.3118980476671,54.80760308422557
Ylilauta,Accuracy,BOREP,0.7303333333333333,0.0010408329997330873,6305.4885735993275,44.805097184593215
Ylilauta,Accuracy,LASER,0.6905,0.0,682.303734268673,42.10534032279534
Ylilauta,Accuracy,Pooled FastText,0.6676666666666667,0.0014433756729740417,446.7785268130028,51.536538100133654
Ylilauta,Accuracy,Pooled word2vec,0.7111666666666667,0.0057735026918962545,239.54113511933488,39.053177660876926
Ylilauta,Accuracy,SIF,0.7320000000000001,0.0008660254037844795,490.83119315666164,50.9187206490228
Ylilauta,Accuracy,TF-IDF,0.539,0.00841130192063043,12454.179923644328,42.58326200383325
Ylilauta,F1 micro,BERT multilingual,0.7065,0.006538348415311013,695.3118980476671,54.80760308422557
Ylilauta,F1 micro,BOREP,0.7303333333333333,0.0010408329997331073,6305.4885735993275,44.805097184593215
Ylilauta,F1 micro,LASER,0.6905,0.0,682.303734268673,42.10534032279534
Ylilauta,F1 micro,Pooled FastText,0.6676666666666667,0.0014433756729740417,446.7785268130028,51.536538100133654
Ylilauta,F1 micro,Pooled word2vec,0.7111666666666667,0.0057735026918962545,239.54113511933488,39.053177660876926
Ylilauta,F1 micro,SIF,0.7320000000000001,0.0008660254037844795,490.83119315666164,50.9187206490228
Ylilauta,F1 micro,TF-IDF,0.539,0.00841130192063043,12454.179923644328,42.58326200383325
Ylilauta,F1 score,BERT multilingual,0.6994614729174676,0.010385291581820283,695.3118980476671,54.80760308422557
Ylilauta,F1 score,BOREP,0.7284468815932664,0.0011206224311551083,6305.4885735993275,44.805097184593215
Ylilauta,F1 score,LASER,0.6873420768113134,0.0,682.303734268673,42.10534032279534
Ylilauta,F1 score,Pooled FastText,0.6648082665660394,0.0015465482110429787,446.7785268130028,51.536538100133654
Ylilauta,F1 score,Pooled word2vec,0.7084605424997332,0.009523154688686038,239.54113511933488,39.053177660876926
Ylilauta,F1 score,SIF,0.7310315165440268,0.0008973789753770912,490.83119315666164,50.9187206490228
Ylilauta,F1 score,TF-IDF,0.537329263524657,0.007587869827948935,12454.179923644328,42.58326200383325
